time_s,lat_deg,lon_deg,height_m,ecef_x_m,ecef_y_m,ecef_z_m,east_mps,north_mps,up_mps,speed_mps,course_deg
44.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
45.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
46.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
47.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
48.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
49.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
50.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
51.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
52.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
53.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
54.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
55.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
56.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
57.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
58.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
59.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
60.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
61.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
62.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
63.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
64.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
65.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
66.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
67.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
68.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
